book_url,name,author,genres,score,pages,description,cover link
https://www.chitai-gorod.ru/catalog/book/2964788/,Край обетованный,Мураками Х.,Классическая и современная проза,3.53,320,"Харуки Мураками — самый  знаменитый и невероятно популярный японский писатель. Все его книги, выходившие на русском, стали национальными бестселлерами, переведены на множество языков и отмечены многочисленными литературными премиями по всему миру.",https://img-gorod.ru/29/509/2950985_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2964758/,Американская трагедия,Драйзер Т.,Классическая и современная проза,4.00,928,"Роман ""Американская трагедия"" - вершина творчества выдающегося американского писателя Теодора Драйзера. Он говорил: ""Никто не создает трагедий - их создает жизнь. Писатели лишь изображают их"". Драйзеру удалось так талантливо изобразить трагедию Клайда Грифитса, что его история не оставляет равнодушным и современного читателя. Молодой человек, вкусивший всю прелесть жизни богатых, так жаждет утвердиться в их обществе, что идет ради этого на преступление.",https://img-gorod.ru/29/551/2955109_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2964792/,Молодая гвардия,Фадеев А.А.,Классическая и современная проза,4.58,640,,https://img-gorod.ru/29/463/2946386_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2964750/,Загадочная история Бенджамина Баттона,Фицджеральд Ф.С.,Классическая и современная проза,3.83,352,"Фрэнсису Скотту Фицджеральду принадлежит, пожалуй, одна из ведущих сольных партий в оркестровой партитуре «века джаза». Писатель, ярче и беспристрастней которого вряд ли кто отразил безумную жизнь Америки 20-х годов, и сам был плотью от плоти той легендарной эпохи, его имя не сходило с уст современников и из сводок светских хроник. Его скандальная манера поведения повергала в ужас одних и вызывала восторг у других. Но эксцентричность и внешняя позолота канули в прошлое, и в настоящем остались его бессмертные книги.",https://img-gorod.ru/29/571/2957150_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2964785/,Нортенгерское аббатство,Остен Дж.,Классическая и современная проза,3.93,480,"Из-под пера Джейн Остен появились самые романтичные пары и самые остроумные героини художественной литературы. С удивительной наблюдательностью, большим мастерством и тонким английским юмором описывает Джейн Остен быт и нравы провинциального общества своего времени.",https://img-gorod.ru/29/510/2951091_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2964757/,На Западном фронте. Бес перемен,Рогозин Д.О.,Классическая и современная проза,1.69,416,,https://img-gorod.ru/29/555/2955583_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2964796/,1984,Оруэлл Дж.,Классическая и современная проза,4.00,352,"Тоталитарное партийное государство Океания. Здесь не существует понятий «индивидуальность», «любовь» и «тайна». Здесь с многочисленных плакатов смотрит Большой Брат, который следит за каждым действием и мыслью. Министерство правды занимается фальсификацией фактов, а министерство любви – уничтожением мыслепреступников.",https://img-gorod.ru/29/425/2942503_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2964753/,Мертвые души,Гоголь Н.В.,Классическая и современная проза,3.75,352,"""Вся Русь явится в нем"", - говорил Гоголь о своем будущем романе ""Мертвые души"", позднее названном им поэмой. ""Подаренный"" Пушкиным сюжет давал основу для авантюрно-плутовского романа, но традиционный жанр не смог вместить в себя все богатство гоголевского замысла. Определение прозаического произведения как поэмы не случайно - столь поэтичен созданный писателем образ Руси, птицы-тройки. ""Русь, куда ж несешься ты? Дай ответ. Не дает ответа...""",https://img-gorod.ru/29/567/2956710_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2964800/,Персики для месье кюре,Харрис Дж.,Классическая и современная проза,0.00,640,Перед вами продолжение романов «Шоколад» и «Леденцовые туфельки».,https://img-gorod.ru/29/422/2942251_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2964828/,Трансмиграция Тимоти Арчера,Дик Ф.К.,Классическая и современная проза,0.00,320,"Епископ Тимоти Арчер ищет Бога. Он ищет его в мистических учениях и ищет на спиритических сеансах. Арчер отправляется в Израиль на поиски источника манускриптов, написанных до Евангелий и до рождения Христа. Это путешествие заставит епископа пересмотреть решения, принятые в течении всей жизни и понять, как они могли способствовать самоубийству его сына.",https://img-gorod.ru/29/214/2921453_detail.jpg
